address,mac,name,os_name,os_flavor,os_sp,purpose,info,comments
"10.172.123.57","","","Unknown","","","device","",""
"10.172.123.70","","","Unknown","","","device","",""
"10.69.72.240","","","Unknown","","","device","",""
"10.80.70.36","","","Windows 2016","","","server","",""
"10.84.185.246","","","Unknown","","","device","",""
"10.4.64.221","","","Unknown","","","device","",""
"10.16.249.246","","","OpenBSD","","4.X","device","",""
"10.67.108.106","","","Windows 2016","","","server","",""
"10.67.110.154","","","Unknown","","","device","",""
"10.69.32.242","","","Unknown","","","device","",""
"10.80.1.254","","","Windows 2008","","","server","",""
"10.80.4.237","","","Windows 2019","","","server","",""
"10.80.10.152","","","Windows 2012","","","server","",""
"10.80.23.183","","","Windows 2012","","","server","",""
"10.97.119.225","","","Windows 2016","","","server","",""
"10.102.237.149","","","Windows 2016","","","server","",""
"10.74.240.44","","","Unknown","","","device","",""
"10.84.194.43","","","Windows 2019","","","server","",""
"10.91.218.78","","","Unknown","","","device","",""
"10.105.251.104","","","Unknown","","","device","",""
"10.159.6.144","","","Linux","","4.X","server","",""
"10.161.154.129","","","Unknown","","","device","",""
"10.162.198.248","","","Windows 2012","","","server","",""
"10.162.251.64","","","Windows 2012","","","server","",""
"10.237.31.167","","","Unknown","","","device","",""
"10.252.176.154","","","OpenBSD","","4.X","device","",""
"10.47.159.57","","","Windows 2016","","","server","",""
"10.210.211.63","","","Windows 2016","","","server","",""
"10.214.27.37","","","Windows 2019","","","server","",""
"10.183.61.130","","","OpenBSD","","4.X","device","",""
"10.183.90.105","","","Unknown","","","device","",""
